City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
27,Celestun,MX,80.55,overcast clouds,20.8667,-90.4,Posada Lilia
33,Fare,PF,80.19,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
42,Pedernales,DO,80.56,few clouds,18.0384,-71.744,Hotel Costa Marina
49,Faanui,PF,81.0,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
51,Kampong Thum,KH,80.56,overcast clouds,12.7111,104.8887,Sambor Village Hotel
128,San Ramon,US,81.48,clear sky,37.7799,-121.978,San Ramon Marriott
131,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
148,Tevaitoa,PF,80.46,scattered clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
153,Daru,PG,81.19,broken clouds,-9.0763,143.2092,Daru Lodge
154,Kutum,SD,80.26,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
174,Puerto Colombia,CO,80.69,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
185,Kuching,MY,80.82,few clouds,1.55,110.3333,The Ranee Boutique Suites
186,Port Keats,AU,80.22,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
189,Hede,CN,81.7,clear sky,33.7681,120.2517,Vienna 3 Best Hotel Sheyang Jiefang Rd
233,Tual,ID,81.86,few clouds,-5.6667,132.75,Grand Vilia Hotel
248,Asyut,EG,80.78,clear sky,27.181,31.1837,Florence Hotel Assiut
254,Nizwa,OM,81.14,clear sky,22.9333,57.5333,Orient Apartments
262,Hithadhoo,MV,81.95,overcast clouds,-0.6,73.0833,Scoop Guest House
311,Bucerias,MX,80.98,clear sky,20.75,-105.3333,Villa del Palmar Flamingos Beach Resort & Spa Riviera Nayarit
315,Finschhafen,PG,80.96,overcast clouds,-6.6024,147.8681,Cossam Guest House
321,Hambantota,LK,80.02,scattered clouds,6.1241,81.1185,Bungalow 63
342,Merauke,ID,81.66,scattered clouds,-8.4667,140.3333,
346,Wilmington,US,80.98,scattered clouds,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
378,Ambulu,ID,81.84,clear sky,-8.345,113.6058,Hotel Ambulu Jember
389,Fort Smith,US,80.64,broken clouds,35.3859,-94.3986,Hampton Inn Fort Smith
390,Dawei,MM,81.46,overcast clouds,14.0833,98.2,Hotel Dawei
405,Kavieng,PG,81.03,light rain,-2.5744,150.7967,Nusa Island Retreat
410,Waddan,LY,80.96,clear sky,29.1614,16.139,محل الشريف محمد العايب
411,Shihezi,CN,81.46,scattered clouds,44.3,86.0333,Home Inn Shihezi Dongwu Road Century Square
471,Russell,US,80.96,broken clouds,32.3502,-85.1999,Macs
484,Ibra,OM,80.83,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
